lambda_um,T_total
4.03,0.9999940470114677
4.05,0.9999941483229907
4.069999999999999,0.9999957785329425
4.089999999999999,0.999993157957575
4.1099999999999985,0.9999949382547986
4.129999999999998,0.9999869943254779
4.149999999999998,0.9999505524208478
4.169999999999997,0.9992304860942177
4.189999999999997,0.9714952238852297
4.209999999999996,0.6795800395743782
4.229999999999996,0.41012017017904895
4.249999999999996,0.5265573468928824
4.269999999999995,0.5222450028575008
4.289999999999995,0.5225384325398056
4.309999999999994,0.6597196383116957
4.329999999999994,0.8410375613572814
4.349999999999993,0.95475816075939
4.369999999999993,0.9912395256556339
4.389999999999993,0.9986387032836377
4.409999999999992,0.9997635032242427
4.429999999999992,0.9997573678339247
4.449999999999991,0.9993506858664893
4.469999999999991,0.9988938618521589
4.48999999999999,0.9993313635865716
4.50999999999999,0.9992135256942472
4.52999999999999,0.9990856934922262
4.549999999999989,0.9993805908843847
4.569999999999989,0.9995627544857935
4.589999999999988,0.9997523675553279
4.609999999999988,0.9997215305607257
4.6299999999999875,0.9990292343724441
4.649999999999987,0.9994578415866919
4.669999999999987,0.9986960787880963
4.689999999999986,0.9992567153202894
4.709999999999986,0.9995634477361561
4.729999999999985,0.9983574351875404
4.749999999999985,0.9995215036113883
4.7699999999999845,0.9984092114030165
4.789999999999984,0.9931824867774875
4.809999999999984,0.9984872482644838
4.829999999999983,0.9942394177918302
4.849999999999983,0.9852709877270481
4.869999999999982,0.9996599757686622
4.889999999999982,0.9904867499365855
4.9099999999999815,0.9950497751658894
4.929999999999981,0.9980049824248485
4.949999999999981,0.9785180027589311
4.96999999999998,0.9911593548626851
4.98999999999998,0.9975365367962832
5.009999999999979,0.9721686114739821
5.029999999999979,0.962397902421756
5.0499999999999785,0.9992128989681539
5.069999999999978,0.990545399572611
5.089999999999978,0.9650807980682946
5.109999999999977,0.9892472692517684
5.129999999999977,0.9814013300134525
5.149999999999976,0.9179759534368865
5.169999999999976,0.9948726308634294
5.1899999999999755,0.9660619756382754
5.209999999999975,0.8776600437713632
5.229999999999975,0.951012746696365
5.249999999999974,0.973085395105365
5.269999999999974,0.963065063276401
5.289999999999973,0.9075416725569967
5.309999999999973,0.9814950099725315
5.3299999999999725,0.9915877746356039
5.349999999999972,0.7823074165413113
5.369999999999972,0.9635211149425987
5.389999999999971,0.9885191136330673
5.409999999999971,0.8798040473484502
5.42999999999997,0.8291871758503498
5.44999999999997,0.93172525806817
5.4699999999999696,0.7518803795464373
5.489999999999969,0.933559692282424
5.509999999999969,0.9478003341468624
5.529999999999968,0.8910461950208582
5.549999999999968,0.8164834410006213
5.569999999999967,0.7469621688744591
5.589999999999967,0.8203535680760108
5.609999999999967,0.8473896276551555
5.629999999999966,0.7775290039038706
5.649999999999966,0.6269130243252508
5.669999999999965,0.819348263730841
5.689999999999965,0.8099720089762958
5.709999999999964,0.6430453556652641
