lambda_um,T_H2O,T_CO2,T_O3,T_N2O,T_CO,T_CH4,T_O2
4.03,0.9999991473692916,0.9999999883224713,0.9999999998036735,0.9999951318137122,1.0,0.9999996102551032,1.0
4.05,0.9999990125023521,0.9999999710219353,0.9999999997781996,0.9999952320352405,1.0,0.9999995769640201,1.0
4.069999999999999,0.9999996643633624,0.9999997512940941,0.9999999998274929,0.9999969497252876,1.0,0.9999996815348319,1.0
4.089999999999999,0.9999995897695129,0.9999989172819626,0.9999999998740042,0.9999949866929985,1.0,0.9999997416791866,1.0
4.1099999999999985,0.999998506953202,0.9999993530585392,0.9999999997928108,0.9999977974339544,1.0,0.9999996538395809,1.0
4.129999999999998,0.9999992390344185,0.9999890015532772,0.999999999077046,0.999999562413288,1.0,0.9999999236484326,1.0
4.149999999999998,0.999998893427662,0.9999561735070333,0.9999999995070429,0.9999999545120962,1.0,0.9999997408163921,1.0
4.169999999999997,0.9999990208371686,0.9993073085755038,0.9999999993407981,0.9999999968627858,1.0,0.9999999797605995,1.0
4.189999999999997,0.9999990622169266,0.9782522232424027,0.9999999994743163,0.999999999310224,1.0,0.9999998502279094,1.0
4.209999999999996,0.9999978234925424,0.6813019432086627,0.9999999997087454,0.9999999948442949,1.0,0.9999999940653486,1.0
4.229999999999996,0.9999983369901299,0.3944863215351064,0.9999999997656499,0.9999999668676239,1.0,0.999999872716161,1.0
4.249999999999996,0.9999951059047584,0.5392963469061697,0.9999999977519135,0.9999998496496608,1.0,0.9999999775866732,1.0
4.269999999999995,0.9999941406155002,0.5225530566279751,0.99999999915134,0.999999615205859,1.0,0.9999999540328033,1.0
4.289999999999995,0.9999903420635633,0.5263713121558351,0.9999999989694799,0.9999995703849537,1.0,0.9999999890787444,1.0
4.309999999999994,0.9999813568063917,0.6491493498776785,0.9999999991281974,0.9999997250027084,1.0,0.9999999744118157,1.0
4.329999999999994,0.9999786203037477,0.8443268565876918,0.9999999993849142,0.9999995277630782,1.0,0.999999993900196,1.0
4.349999999999993,0.9999725691345598,0.9569334243346171,0.9999999994172856,0.9999996611207032,1.0,0.9999999833939779,1.0
4.369999999999993,0.9999538078655353,0.9920417037372914,0.9999999990974942,0.999999865035008,0.9999999999998834,0.9999999974507475,1.0
4.389999999999993,0.9999262682306683,0.9987218070999051,0.9999999983543747,0.9999997395198459,0.9999999999740652,0.9999999918474769,1.0
4.409999999999992,0.9999677049588448,0.9998251598644361,0.9999999965680508,0.9999986956874559,0.9999999997512184,0.9999999987147059,1.0
4.429999999999992,0.999854242545283,0.9999794764126287,0.9999999949302831,0.9999354589823558,0.9999999956803637,0.9999999975617004,1.0
4.449999999999991,0.999894434270814,0.9999966590570499,0.99999999392096,0.9994373951341553,0.9999999645911852,0.999999998568409,1.0
4.469999999999991,0.9999460689292935,0.9999976852427197,0.9999999865085976,0.9988892279078029,0.9999997134231933,0.9999999991612626,1.0
4.48999999999999,0.9999176637804715,0.9999991680686234,0.9999999829208092,0.9994552892180782,0.9999989796577587,0.9999999986306592,1.0
4.50999999999999,0.9999098448243529,0.9999984978477752,0.9999999844717102,0.9993280926617073,0.9999948668633093,0.9999999998378963,1.0
4.52999999999999,0.9997035975010606,0.9999984236835976,0.9999999849094101,0.9991747283011767,0.9999884538618489,0.9999999993668953,1.0
4.549999999999989,0.9998945461587907,0.9999989962654906,0.9999999837089093,0.9994937612081525,0.9999763657581087,0.9999999998855083,1.0
4.569999999999989,0.9997660395161581,0.9999996070171648,0.9999999752687607,0.9997686418896692,0.9999731523633861,0.9999999997677358,1.0
4.589999999999988,0.9998793321689672,0.9999998015562663,0.999999966751274,0.9999222077137873,0.9999513958128861,0.9999999999614364,1.0
4.609999999999988,0.999894731662381,0.99999953518382,0.9999999727123112,0.9999766621670505,0.9999451962944153,0.999999999932776,1.0
4.6299999999999875,0.9993138677013838,0.9999995641020212,0.9999999804566331,0.9999940385979391,0.9999686049090397,0.9999999999464595,1.0
4.649999999999987,0.999547069754352,0.9999995180944845,0.9999999820031793,0.9999986055036094,0.9999771561294326,0.9999999999843847,1.0
4.669999999999987,0.9988157546173984,0.99999931968786,0.9999999805779971,0.9999996990044715,0.9999957188574484,0.9999999999675426,1.0
4.689999999999986,0.9986652530171605,0.9999900941937858,0.9999990706262831,0.9999999430206399,0.9999737689698409,0.999999999996686,1.0
4.709999999999986,0.9996376931225395,0.9999958928328769,0.9999969795707433,0.9999999888919078,0.9999631879800344,0.9999999999889311,1.0
4.729999999999985,0.9981946270565414,0.9999911713396972,0.9999987740138596,0.9999999988506583,0.9999667505821033,0.9999999999991285,1.0
4.749999999999985,0.9996901056430576,0.9999913843277632,0.9999982576188495,0.9999999998812839,0.9999700940969349,0.9999999999983236,1.0
4.7699999999999845,0.9993204096080612,0.9999783635272199,0.9999982069760651,0.9999999996994127,0.9999761476081661,0.9999999999977296,1.0
4.789999999999984,0.9945816491821459,0.9999844396769366,0.9999985855738183,0.9999999997330857,0.9999828989438899,1.0,1.0
4.809999999999984,0.9992139884520348,0.9997877871465712,0.9999991413931311,0.9999999999943046,0.9999888883662369,1.0,1.0
4.829999999999983,0.9986021140636838,0.9999485547756362,0.9999994180663709,0.9999999997390365,0.9999934080213759,1.0,1.0
4.849999999999983,0.9859664576441928,0.9998877232742556,0.9999997404115937,0.9999999997252143,0.9999964182636869,1.0,1.0
4.869999999999982,0.999897819261313,0.9999151513475182,0.9999998525185008,0.9999999999212075,0.9999982161939305,1.0,1.0
4.889999999999982,0.9873151723620399,0.9999571372278739,0.9999999153176999,1.0,0.999999182117677,1.0,1.0
4.9099999999999815,0.9987761035122491,0.9999904743174683,0.9999999305496323,1.0,0.9999997713856226,1.0,1.0
4.929999999999981,0.9983314534357681,0.9999981889975131,0.9999999470042755,1.0,0.9999997939996443,1.0,1.0
