lambda_um,T_H2O,A_H2O_dbm,T_CO2,A_CO2_dbm,T_O3,A_O3_dbm,T_N2O,A_N2O_dbm,T_CO,A_CO_dbm,T_CH4,A_CH4_dbm,T_O2,A_O2_dbm
1.03,0.9999981979764759,7.82609577902699e-06,0.999999996662703,1.4493696715197075e-08,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.999999996896979,1.3476248784708621e-08,1.0,-0.0
1.05,0.9999997022569093,1.2930820058266483e-06,0.9999999852287019,6.415093291288049e-08,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999998616066,6.01034933629057e-10,0.9999999991157035,3.840451012977179e-09
1.07,0.9999928073271129,3.1237493790562224e-05,0.9999999971851556,1.2224713736433628e-08,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999674063397,1.415524705541076e-07
1.09,0.9999279497064409,0.00031292172230842745,0.9999999999086758,3.966158329181454e-10,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999981177562,8.174480989913413e-09,0.9999999998135619,8.096903249109469e-10
1.11,0.9984080516238675,0.006919252961502706,0.9999999993337138,2.8936444114296476e-09,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999812071981,8.161610228430278e-08,1.0,-0.0
1.1300000000000001,0.9923795745424867,0.03322183088640562,0.9999999989173586,4.701851952562529e-09,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.999999857620326,6.183471117741873e-07,1.0,-0.0
1.1500000000000001,0.9960985423731287,0.016976954197502402,0.9999999997586836,1.048023858320566e-09,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999997875129825,9.228194899668938e-07,1.0,-0.0
1.1700000000000002,0.9996218247118611,0.001642705043116929,0.9999999999776991,9.685174694062605e-11,1.0,-0.0,1.0,-0.0,0.9999999999999999,4.821637332766436e-16,0.9999997372774664,1.1409896160975178e-06,1.0,-0.0
1.1900000000000002,0.999803967847398,0.0008514402790689093,0.9999999999855336,6.282689877386766e-11,1.0,-0.0,1.0,-0.0,0.9999999999958222,1.8143821283237996e-11,0.999999932667727,2.9242035593419903e-07,1.0,-0.0
1.2100000000000002,0.9998788737849185,0.0005260763296979371,0.9999994748333041,2.280770580015791e-06,1.0,-0.0,1.0,-0.0,0.9999999999999332,2.9026256743254916e-13,0.999999988144838,5.14863145321716e-08,0.999999999999951,2.1263420637500502e-13
1.2300000000000002,0.9999739941543652,0.00011294342116532204,0.9999998451281766,6.725998349836115e-07,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999964507671,1.541412269484106e-08,0.9999999997763286,9.713926118456262e-10
1.2500000000000002,0.9999988068485647,5.1817939356736654e-06,0.9999999990212033,4.250860104177375e-09,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999990008216,4.339376686747309e-09,0.9999991713805234,3.598650153759422e-06
1.2700000000000002,0.9999962873208222,1.612399073139763e-05,0.9999999982237516,7.714148665310007e-09,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999997321474,1.1632691873864891e-09,0.9999875072193561,5.4255795876136514e-05
1.2900000000000003,0.9999648638196639,0.00015259717320796872,0.9999999767876492,1.0080995989807641e-07,1.0,-0.0,0.999999998901835,4.769270014477715e-09,1.0,-0.0,0.9999999992913513,3.0776221807712956e-09,0.9999996781618031,1.3977257545866946e-06
1.3100000000000003,0.9996918878114328,0.0013383204200246616,0.999999934886926,2.827824967756373e-07,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999999450601884,2.3860057665338094e-07,0.9999999993446235,2.846264109984175e-09
1.3300000000000003,0.9989868944787109,0.00440209164320024,0.9999999643019293,1.5503475405739389e-07,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999997796343486,9.570359694600715e-07,0.9999999999995461,1.9710853416353663e-12
1.3500000000000003,0.9683446690044217,0.1397003400991816,0.9999999804222218,8.502521113168858e-08,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9999997108402868,1.255804859765097e-06,1.0,-0.0
1.3700000000000003,0.9274357902876604,0.3271614843965802,0.9999999977039001,9.971835027584005e-09,1.0,-0.0,0.999999999999998,8.678947198979593e-15,1.0,-0.0,0.9999997131001164,1.245990541920824e-06,1.0,-0.0
1.3900000000000003,0.9279854369884596,0.3245883917464909,0.9999999996114971,1.6872466419485743e-09,1.0,-0.0,0.9999999996469059,1.5334682337827003e-09,1.0,-0.0,0.9999996525734322,1.5088546749389332e-06,1.0,-0.0
1.4100000000000004,0.9606616160383701,0.17429561516256836,0.9999999999918352,3.545928527277568e-11,1.0,-0.0,0.9999999998642347,5.896211537333677e-10,1.0,-0.0,0.9999997307651889,1.169272085427242e-06,1.0,-0.0
1.4300000000000004,0.9879435504544807,0.05267869609241034,0.9999881926666849,5.1278899781411027e-05,0.9999999999994761,2.275330657333077e-12,1.0,-0.0,1.0,-0.0,0.9999998976655928,4.4443270617003063e-07,1.0,-0.0
1.4500000000000004,0.993303828301602,0.029178907066071555,0.9999976659510906,1.0136657448045545e-05,1.0,-0.0,0.9999999998194956,7.839206020175155e-10,1.0,-0.0,0.9999999690441599,1.3443950752047206e-07,1.0,-0.0
1.4700000000000004,0.994584148498929,0.023584667550149204,0.999999996772673,1.4016102928216816e-08,0.9999999999998783,5.284514516712335e-13,0.9999999999502207,2.1618871742209608e-10,1.0,-0.0,0.9999999786047419,9.291842640127996e-08,1.0,-0.0
