lambda_um,T_N2O
4.03,0.9999950995876874
4.05,0.9999951954577072
4.069999999999999,0.9999969339287474
4.089999999999999,0.9999949533481621
4.1099999999999985,0.9999977588698516
4.129999999999998,0.9999995044360253
4.149999999999998,0.9999999280812752
4.169999999999997,0.9999999655081948
4.189999999999997,0.9999999823847736
4.209999999999996,0.9999999907070845
4.229999999999996,0.9999999666974563
4.249999999999996,0.9999998501074953
4.269999999999995,0.9999996155617004
4.289999999999995,0.9999995693506605
4.309999999999994,0.9999997222056378
4.329999999999994,0.9999995224429252
4.349999999999993,0.9999996589205127
4.369999999999993,0.9999998647432936
4.389999999999993,0.9999999500102007
4.409999999999992,0.9999993056420245
4.429999999999992,0.9999362633304247
4.449999999999991,0.9994388856023131
4.469999999999991,0.9988889471701947
4.48999999999999,0.9994518979494001
4.50999999999999,0.9993251105123595
4.52999999999999,0.9991706561797309
4.549999999999989,0.9994884255406831
4.569999999999989,0.999761651442704
4.589999999999988,0.999918585171129
4.609999999999988,0.9999731425320043
4.6299999999999875,0.9999910078241824
4.649999999999987,0.9999968626350626
4.669999999999987,0.9999989534596261
4.689999999999986,0.9999996871254659
4.709999999999986,0.999999917332318
4.729999999999985,0.9999999815426379
4.749999999999985,0.9999999960444113
4.7699999999999845,0.9999999992748035
4.789999999999984,0.9999999997323674
4.809999999999984,0.9999999999958323
4.829999999999983,0.9999999997392414
4.849999999999983,0.9999999997256179
4.869999999999982,0.9999999999209753
4.889999999999982,0.9999999999996035
4.9099999999999815,0.9999999999999819
4.929999999999981,1.0
4.949999999999981,0.999999999999788
4.96999999999998,0.9999999999989446
4.98999999999998,0.9999999998056589
5.009999999999979,0.9999999985894162
5.029999999999979,0.9999999971934111
5.0499999999999785,0.9999999980037362
5.069999999999978,0.9999999794682237
5.089999999999978,0.9999999949164823
5.109999999999977,0.9999999957951605
5.129999999999977,0.9999999971893573
5.149999999999976,0.9999999984142092
5.169999999999976,0.999999999290238
5.1899999999999755,0.9999999997275134
5.209999999999975,0.9999999977577781
5.229999999999975,0.9999999839441656
5.249999999999974,0.9999999374452441
5.269999999999974,0.9999998508663038
5.289999999999973,0.9999998063206095
5.309999999999973,0.9999988412740882
5.3299999999999725,0.9999996318244151
5.349999999999972,0.9999997439810778
5.369999999999972,0.9999997393160415
5.389999999999971,0.9999998177869098
5.409999999999971,0.9999999074894611
5.42999999999997,0.9999999588156653
5.44999999999997,0.9999999862261043
5.4699999999999696,0.9999999957245387
5.489999999999969,0.9999999986561979
5.509999999999969,0.9999999996049106
5.529999999999968,0.9999999998535957
5.549999999999968,0.9999999999372992
5.569999999999967,0.9999999998527549
5.589999999999967,0.9999999992516511
5.609999999999967,0.9999999977648968
5.629999999999966,0.9999999942456579
5.649999999999966,0.9999999876056684
5.669999999999965,0.9999999828375791
5.689999999999965,0.9999999815832761
5.709999999999964,0.9999998673149517
5.729999999999964,0.9999999734415025
5.749999999999964,0.9999999805795446
5.769999999999963,0.9999999683405129
5.789999999999963,0.999999980725951
5.809999999999962,0.9999999883462434
5.829999999999962,0.999999993621533
5.8499999999999615,0.9999999973546042
5.869999999999961,0.9999999991747637
5.889999999999961,0.9999999997994475
5.90999999999996,0.9999999999782977
5.92999999999996,0.9999999999900434
5.949999999999959,0.999999999991363
5.969999999999959,0.9999999999778791
5.9899999999999585,0.9999999988197362
6.009999999999958,0.9999999938234205
6.029999999999958,0.9999999833642307
6.049999999999957,0.9999999710941616
6.069999999999957,0.9999999704660311
6.089999999999956,0.9999999782246249
6.109999999999956,0.9999999304685842
6.1299999999999555,0.9999998926751482
