lambda_um,T_H2O
1.03,0.9999981866118322
1.05,0.9999997061060896
1.07,0.999992842902267
1.09,0.9999274493318279
1.11,0.9984045920910938
1.1300000000000001,0.9922904074044003
1.1500000000000001,0.9960611504550619
1.1700000000000002,0.999623382971208
1.1900000000000002,0.999801434109213
1.2100000000000002,0.9998778476855927
1.2300000000000002,0.9999739113698946
1.2500000000000002,0.9999988259829871
1.2700000000000002,0.9999963205477678
1.2900000000000003,0.9999651928309443
1.3100000000000003,0.9996909391433573
1.3300000000000003,0.9989790745672767
1.3500000000000003,0.9682209180073257
1.3700000000000003,0.926488903153054
1.3900000000000003,0.9271639333367362
1.4100000000000004,0.9604715086715686
1.4300000000000004,0.9879233675208866
1.4500000000000004,0.9932268645121682
1.4700000000000004,0.9945263411845285
1.4900000000000004,0.998043295766938
1.5100000000000005,0.9997504558610293
1.5300000000000005,0.999965528508774
1.5500000000000005,0.9999944506752055
1.5700000000000005,0.9999975870516682
1.5900000000000005,0.999997232678063
1.6100000000000005,0.9999984625399598
1.6300000000000006,0.9999984883910469
1.6500000000000006,0.9999954355306475
1.6700000000000006,0.9999917094889508
1.6900000000000006,0.9999794957629475
1.7100000000000006,0.9999513646832977
1.7300000000000006,0.9998462953283425
1.7500000000000007,0.9996652211064037
1.7700000000000007,0.999271329297503
1.7900000000000007,0.9968820937300001
1.8100000000000007,0.9773511434867898
1.8300000000000007,0.911091874155736
1.8500000000000008,0.903558195136017
1.8700000000000008,0.8993520990639837
1.8900000000000008,0.9478815804992096
1.9100000000000008,0.9230110514632683
1.9300000000000008,0.9550612645791953
1.9500000000000008,0.991572941463092
1.9700000000000009,0.9980042739382972
1.9900000000000009,0.9993321985037444
2.0100000000000007,0.9997146915587629
2.030000000000001,0.9999101840551148
2.0500000000000007,0.9999469936217208
2.070000000000001,0.9999589827044105
2.0900000000000007,0.9999703896270217
2.110000000000001,0.9999682687411363
2.130000000000001,0.9999808190475171
2.1500000000000012,0.9999782544918514
2.170000000000001,0.999960680245486
2.1900000000000013,0.9999315290001776
2.210000000000001,0.9999681606169909
2.2300000000000013,0.9999915640277925
2.250000000000001,0.9999965233873208
2.2700000000000014,0.9999947840036958
2.290000000000001,0.9999816340970228
2.3100000000000014,0.9999867903618204
2.330000000000001,0.9999320369661181
2.3500000000000014,0.99977662679775
2.370000000000001,0.9996292524327991
2.3900000000000015,0.9992256309655333
2.410000000000001,0.9979822188845473
2.4300000000000015,0.9975822166756592
2.450000000000001,0.9966136088760745
2.4700000000000015,0.9947691286084958
2.490000000000001,0.9884448926369984
2.5100000000000016,0.9760950052642818
2.530000000000001,0.9274101213529005
2.5500000000000016,0.8734735010979982
2.570000000000001,0.6972328095751277
2.5900000000000016,0.6134341115235146
2.610000000000001,0.616787380749544
2.6300000000000017,0.7336839676404876
2.6500000000000012,0.8042627876561917
2.6700000000000017,0.47318832692753826
2.6900000000000013,0.7294079740180387
2.7100000000000017,0.745804690773268
2.7300000000000013,0.6699198867487668
2.7500000000000018,0.7115239557247214
2.7700000000000014,0.7112355158981806
2.790000000000002,0.825011484899466
2.8100000000000014,0.8161943055669889
2.830000000000002,0.894107820067621
2.8500000000000014,0.9383306826138593
2.870000000000002,0.9646749229707139
2.8900000000000015,0.983675773246182
2.910000000000002,0.9720805022705932
2.9300000000000015,0.9844549736808079
